,MovieID,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
6,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
7,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,11,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
11,12,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
12,13,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,15,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
16,17,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,21,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
21,22,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
24,25,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
25,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
